~id,~label,name
"ator_Andr_Arteche","Ator","André Arteche"
"ator_Andr_Falco","Ator","André Falcão"
"ator_Andr_Gonalves","Ator","André Gonçalves"
"ator_Aninha_Lima","Ator","Aninha Lima"
"ator_Antonio_Calloni","Ator","Antonio Calloni"
"ator_Antnio_Fragoso","Ator","Antônio Fragoso"
"ator_Babu_Santana","Ator","Babu Santana"
"ator_Bellatrix","Ator","Bellatrix"
"ator_Bertrand_Duarte","Ator","Bertrand Duarte"
"ator_Beth_Carvalho","Ator","Beth Carvalho"
"ator_Betty_Gofman","Ator","Betty Gofman"
"ator_Betty_Lago","Ator","Betty Lago"
"ator_Bibi_Ferreira","Ator","Bibi Ferreira"
"ator_Blota_Filho","Ator","Blota Filho"
"ator_Brendha_Haddad","Ator","Brendha Haddad"
"ator_Bruna_Abdalah","Ator","Bruna Abdalah"
"ator_Cacau_Melo","Ator","Cacau Melo"
"ator_Caco_Ciocler","Ator","Caco Ciocler"
"ator_Cadu_Lopes","Ator","Cadu Lopes"
"ator_Cadu_Paschoal","Ator","Cadu Paschoal"
"ator_Caio_Blat","Ator","Caio Blat"
"ator_Calcinha_Preta","Ator","Calcinha Preta"
"ator_Carlinhos_de_Jesus","Ator","Carlinhos de Jesus"
"ator_Carlo_Mossi","Ator","Carlo Mossi"
"ator_Carolina_Oliveira","Ator","Carolina Oliveira"
"ator_Charle_Myara","Ator","Charle Myara"
"ator_Chico_Anysio","Ator","Chico Anysio"
"ator_Christiane_Torloni","Ator","Christiane Torloni"
"ator_Christovam_Netto","Ator","Christovam Netto"
"ator_Cissa_Guimares","Ator","Cissa Guimarães"
"ator_Clarisse_Derzi","Ator","Clarisse Derziê"
"ator_Claudia_Lira","Ator","Claudia Lira"
"ator_Claudia_Provedel","Ator","Claudia Provedel"
"ator_Claudio_Ayres_da_Motta","Ator","Claudio Ayres da Motta"
"ator_Clemente_Viscano","Ator","Clemente Viscaíno"
"ator_Cleo_Pires","Ator","Cleo Pires"
"ator_Cristiano_Cochrane","Ator","Cristiano Cochrane"
"ator_Cyria_Coentro","Ator","Cyria Coentro"
"ator_Darlan_Cunha","Ator","Darlan Cunha"
"ator_Davi_Pinheiro","Ator","Davi Pinheiro"
"ator_Dbora_Bloch","Ator","Débora Bloch"
"ator_Deborah_Catalani","Ator","Deborah Catalani"
"ator_Delano_Avelar","Ator","Delano Avelar"
"ator_Denise_Milfont","Ator","Denise Milfont"
"ator_Dinho_Valladares","Ator","Dinho Valladares"
"ator_Diogo_Nogueira","Ator","Diogo Nogueira"
"ator_Dira_Paes","Ator","Dira Paes"
"ator_Doug_Valle","Ator","Doug Valle"
"ator_Douglas_Campigotto","Ator","Douglas Campigotto"
"ator_Douglas_Silva","Ator","Douglas Silva"
"ator_Duda_Mamberti","Ator","Duda Mamberti"
"ator_Duda_Nagle","Ator","Duda Nagle"
"ator_Duda_Ribeiro","Ator","Duda Ribeiro"
"ator_Dyjhan_Henrique","Ator","Dyjhan Henrique"
"ator_Edmilson_Silva","Ator","Edmilson Silva"
"ator_Eliane_Giardini","Ator","Eliane Giardini"
"ator_Elias_Gleiser","Ator","Elias Gleiser"
"ator_Elke_Maravilha","Ator","Elke Maravilha"
"ator_Emilio_di_Biasi","Ator","Emilio di Biasi"
"ator_Erasmo_Carlos","Ator","Erasmo Carlos"
"ator_Eva_Todor","Ator","Eva Todor"
"ator_Fbio_Felipe","Ator","Fábio Felipe"
"ator_Ftima_Caf","Ator","Fátima Café"
"ator_Fernanda_Caetano","Ator","Fernanda Caetano"
"ator_Fernanda_Carvalho","Ator","Fernanda Carvalho"
"ator_Flvio_Migliaccio","Ator","Flávio Migliaccio"
"ator_Francisco_Carvalho","Ator","Francisco Carvalho"
"ator_Gabriel_Videla","Ator","Gabriel Videla"
"ator_Gabriel_Wagner","Ator","Gabriel Wagner"
"ator_Gabriela_Leite","Ator","Gabriela Leite"
"ator_Giselle_Tigre","Ator","Giselle Tigre"
"ator_Glauce_Graieb","Ator","Glauce Graieb"
"ator_Guilherme_Zaiden","Ator","Guilherme Zaiden"
"ator_Hamilton_de_Jesus_Assuno","Ator","Hamilton de Jesus Assunção"
"ator_Harmonia_Enlouquece","Ator","Harmonia Enlouquece"
"ator_Helio_Ribeiro","Ator","Helio Ribeiro"
"ator_Humberto_Martins","Ator","Humberto Martins"
"ator_Isabelita_dos_Patins","Ator","Isabelita dos Patins"
"ator_Isis_Valverde","Ator","Isis Valverde"
"ator_Ivens_Godinho","Ator","Ivens Godinho"
"ator_Ivy_de_Lima","Ator","Ivy de Lima"
"ator_Jacqueline_Dalabona","Ator","Jacqueline Dalabona"
"ator_Janana_Prado","Ator","Janaína Prado"
"ator_Jandira_Martini","Ator","Jandira Martini"
"ator_Java_Mayan","Ator","Java Mayan"
"ator_Jayanthy","Ator","Jayanthy"
"ator_Jayme_Del_Cueto","Ator","Jayme Del Cueto"
"ator_Joo_Fernandes","Ator","João Fernandes"
"ator_Jos_Camarano","Ator","José Camarano"
"ator_Jos_de_Abreu","Ator","José de Abreu"
"ator_Jos_Rubens_Chach","Ator","José Rubens Chachá"
